P\T,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390
11500000.0,1005.5304000000001,1005.1261000000001,1003.4115999999999,1000.7004,997.2078,993.0487,988.1423,982.7044,976.7533,970.4027,963.484,956.2058,948.5866,940.4684,931.9664,923.1053,913.7427,904.1774,893.894,883.3142,872.1437,860.5111,848.3203,835.4917,822.0304,807.6892,792.4558,776.2167,758.7253,739.645,718.6489,694.9753,667.6013,,,,,,,
12000000.0,1005.7325999999999,1005.3282000000002,1003.7137,1001.001,997.4067,993.2459,988.3376,982.8976,977.0396,970.5911,963.7625,956.4802,948.766,940.7338,932.2271,923.361,914.076,904.3227,894.2144,883.6264,872.5242,860.9557,848.7523,835.9806,822.5037,808.2114,793.0843,776.8801,759.4744,740.5213,719.6833,696.2819,669.2992,,,,,,,
12500000.0,1006.0362,1005.6315,1003.9152,1001.2014,997.7053,993.4433,988.533,983.1875,977.2305,970.8738,963.9483,956.7547,949.0367,940.9993,932.4879,923.6169,914.3275,904.6499,894.5344,883.9388,872.905,861.3264,849.1848,836.4001,822.9775,808.7997,793.6508,777.4499999999999,760.225,741.3998,720.7207,697.5446,669.889,,,,,,,
13000000.0,1006.2386000000001,1005.8338,1004.1168,1001.4018999999998,997.9044,993.6407,988.8263,983.3809,977.4216,971.0623,964.2272,956.9378,949.307,941.2651,932.7488,923.8729,914.662,904.9774,894.8546,884.3297,873.2862,861.6975,849.6177,836.8901,823.4519,809.3234,794.2812,778.2101,760.9771,742.2803,721.7611,698.812,672.495,641.0256,,,,,,
13500000.0,1006.4412,1006.0362,1004.3184999999999,1001.6025,998.1036,993.8382,989.0219,983.5743,977.7083,971.251,964.4132,957.2126,949.5774,941.4423,933.0099,924.2144,914.9131,905.3051,895.175,884.6426,873.5913,862.069,849.9788,837.3106,823.9268,809.8477,794.8494,778.8769,761.7307,743.1629,722.7522,700.035,674.0816,643.1695,,,,,,
14000000.0,1006.7451000000001,1006.2386000000001,1004.5203,1001.8032,998.3029,994.0358,989.2175,983.7678,977.8995,971.5341,964.6923,957.3959,949.7578,941.7083,933.2711,924.4707,915.248,905.551,895.4957,884.9558,873.9731,862.4407,850.4125,837.7314,824.4023,810.3728,795.4184,779.5447,762.4857,743.9923,723.7461,701.2623,675.63,645.2862,,,,,,
14500000.0,1006.9478999999999,1006.5425000000001,1004.8230999999998,1002.0040000000001,998.5022,994.2334,989.4133,984.0583,978.0908,971.7229,964.8784,957.6709,950.0285,941.9744,933.5325,924.7272,915.4994,905.8792,895.8165,885.3475,874.3552,862.8872,850.8466,838.223,824.9464,810.8985,796.0516,780.2138,763.184,744.8235,724.7427,702.4445,677.0939,647.2911,,,,,,
15000000.0,1007.2521999999999,1006.7451000000001,1005.0250999999998,1002.3053,998.7017,994.5301,989.6091,984.252,978.3779,971.9118,965.1578,957.9462,950.2993,942.2406,933.794,924.9838,915.8348,906.2075,896.1376,885.6611,874.6611,863.2597,851.2087,838.6448,825.423,811.4249,796.6223,780.823,763.9419,745.6566,725.7421,703.6307,678.6102,649.2663,612.595,,,,,
15500000.0,1007.4551,1006.9478999999999,1005.2271,1002.5062,998.9012,994.7279,989.903,984.4458,978.5693,972.1952,965.3441,958.1297,950.48,942.5071,934.0557,925.3262,916.0865,906.454,896.459,885.975,875.0438,863.6324,851.6437,839.067,825.9002,811.9519,797.1939,781.4942,764.6429,746.4915,726.6934,704.7713,680.0408,651.1688,615.4604,,,,,
16000000.0,1007.7597000000001,1007.2521999999999,1005.4293000000001,1002.7072999999999,999.1008,994.9259,990.099,984.6396,978.7609,972.3843,965.6238,958.4052,950.7511,942.7736,934.3175,925.5831,916.3383,906.7827,896.7806,886.2891,875.4268,864.00555,852.0791,839.4896,826.3097,812.4797,797.7663,782.1054,765.4038,747.3283,727.4432,705.9166,681.4274,653.0399,618.1908,,,,,
